Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775878573,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1775878574,10,,Aggregated,0.000000,0.000000,210,240,370,370,380,390,390,390,390,390,390,31,2,210.0,228.51544425864103,14.53112900344422,389.1776080017735,18745.322580645163
1775878575,20,,Aggregated,0.000000,0.000000,200,320,330,340,370,380,390,390,390,390,390,53,2,200.0,206.18899609470182,14.53112900344422,389.1776080017735,19428.43396226415
1775878576,30,,Aggregated,3.000000,0.000000,220,330,370,370,700,850,1100,1400,1400,1400,1400,76,2,220.0,296.54579618449804,14.53112900344422,1417.9209579997405,16096.605263157895
1775878577,40,,Aggregated,20.500000,1.000000,330,540,690,730,1400,1400,1400,1400,1600,1600,1600,106,2,330.0,491.9977994152605,14.53112900344422,1556.2943430013547,17432.79245283019
1775878578,50,,Aggregated,18.666667,0.666667,490,810,1000,1100,1400,1700,3200,3300,3400,3400,3400,144,2,490.0,681.1588176251967,14.53112900344422,3356.9177870012936,18765.82638888889
1775878579,50,,Aggregated,18.666667,0.666667,490,810,1000,1100,1400,1700,3200,3300,3400,3400,3400,144,2,490.0,681.1588176251967,14.53112900344422,3356.9177870012936,18765.82638888889
1775878580,50,,Aggregated,18.666667,0.666667,490,810,1000,1100,1400,1700,3200,3300,3400,3400,3400,144,2,490.0,681.1588176251967,14.53112900344422,3356.9177870012936,18765.82638888889
1775878581,50,,Aggregated,18.666667,0.666667,490,810,1000,1100,1400,1700,3200,3300,3400,3400,3400,144,2,490.0,681.1588176251967,14.53112900344422,3356.9177870012936,18765.82638888889
1775878582,50,,Aggregated,18.666667,0.666667,490,810,1000,1100,1400,1700,3200,3300,3400,3400,3400,144,2,490.0,681.1588176251967,14.53112900344422,3356.9177870012936,18765.82638888889
1775878583,50,,Aggregated,18.666667,0.666667,490,810,1000,1100,1400,1700,3200,3300,3400,3400,3400,144,2,490.0,681.1588176251967,14.53112900344422,3356.9177870012936,18765.82638888889
1775878584,50,,Aggregated,18.666667,0.666667,490,810,1000,1100,1400,1700,3200,3300,3400,3400,3400,144,2,490.0,681.1588176251967,14.53112900344422,3356.9177870012936,18765.82638888889
1775878585,50,,Aggregated,18.666667,0.666667,490,810,1000,1100,1400,1700,3200,3300,3400,3400,3400,144,2,490.0,681.1588176251967,14.53112900344422,3356.9177870012936,18765.82638888889
1775878586,50,,Aggregated,18.666667,0.666667,490,810,1000,1100,1400,1700,3200,3300,3400,3400,3400,144,2,490.0,681.1588176251967,14.53112900344422,3356.9177870012936,18765.82638888889
1775878587,50,,Aggregated,10.300000,0.000000,500,820,1000,1100,1400,1800,3400,9900,9900,9900,9900,146,2,490.0,807.8440222056686,14.53112900344422,9930.05723800161,18525.157534246577
1775878588,50,,Aggregated,8.800000,0.000000,810,1400,3400,9600,10000,10000,10000,10000,11000,11000,11000,191,2,810.0,2946.3411893980187,14.53112900344422,10875.81066400162,16521.895287958116
