Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1775881150,50,,Aggregated,23.300000,0.000000,560,1200,2000,2400,4000,5700,13000,16000,18000,18000,18000,440,0,560.0,1546.4020844796069,9.729692999826511,17771.357191999414,313216.025
1775881152,50,,Aggregated,21.300000,0.000000,560,1200,1900,2300,3900,5100,12000,16000,18000,18000,18000,460,0,540.0,1507.4559966174443,9.729692999826511,17771.357191999414,307669.8065217391
1775881153,50,,Aggregated,19.400000,0.000000,540,1100,1800,2100,3600,4900,12000,16000,18000,18000,18000,481,0,540.0,1459.9425653659387,9.729692999826511,17771.357191999414,296932.22245322244
1775881154,50,,Aggregated,16.900000,0.000000,510,950,1700,2100,3700,5100,14000,17000,23000,23000,23000,508,0,510.0,1533.8512446338912,9.729692999826511,22964.29674599858,286135.8405511811
1775881155,50,,Aggregated,15.800000,0.000000,460,890,1700,2100,3900,6600,17000,22000,23000,23000,23000,544,0,460.0,1679.6351440533156,4.929204998916248,22964.29674599858,271924.1856617647
1775881156,50,,Aggregated,16.200000,0.000000,440,880,1700,2100,4000,8100,18000,22000,23000,23000,23000,570,0,430.0,1796.6854458316152,4.929204998916248,22964.29674599858,266090.9228070175
1775881157,50,,Aggregated,15.800000,0.000000,420,850,1600,2100,4000,8100,18000,22000,23000,23000,23000,587,0,420.0,1779.6704481635834,4.929204998916248,22964.29674599858,266764.8160136286
1775881158,50,,Aggregated,17.400000,0.000000,440,850,1600,2100,4000,8600,18000,22000,23000,23000,23000,599,0,440.0,1785.9202068832017,4.929204998916248,22964.29674599858,271652.16694490815
1775881159,50,,Aggregated,17.900000,0.000000,460,850,1600,2000,4000,8100,18000,22000,23000,23000,23000,610,0,450.0,1768.1632575771073,4.929204998916248,22964.29674599858,276789.23114754097
1775881160,50,,Aggregated,17.100000,0.000000,420,840,1400,2000,3700,7400,18000,22000,23000,23000,23000,643,0,420.0,1701.9394533531026,4.929204998916248,22964.29674599858,268466.37169517885
1775881161,50,,Aggregated,18.000000,0.000000,410,780,1300,2000,3600,7400,18000,22000,23000,23000,23000,680,0,400.0,1654.1938730794836,4.929204998916248,22964.29674599858,257667.31470588237
