Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /v1/health/live,91,0,99,153.5148628240027,2.5131479997071438,945.4660709998279,126.0,0.14668447548632285,0.0,99,200,230,250,320,480,940,950,950,950,950
GET,GET /v1/health/ready,104,0,7400.0,8448.149188701896,1097.1887880004942,21904.793423997035,183.0,0.16763940055579754,0.0,7600,10000,12000,14000,18000,20000,20000,22000,22000,22000,22000
GET,GET /v1/workspace/bootstrap,50,0,970.0,4391.830411919873,319.2893740015279,23033.59330300009,64247.58,0.08059586565182573,0.0,970,1400,1400,7700,23000,23000,23000,23000,23000,23000,23000
GET,GET /v1/workspace/orders,350,0,23000.0,28951.024837765875,203.985857002408,76775.59350400043,528179.3285714285,0.5641710595627801,0.0,24000,31000,41000,49000,64000,71000,73000,74000,77000,77000,77000
POST,POST /v1/workspace/auth/login,50,0,220.0,2216.7766622599447,40.6385770002089,10215.276963001088,1197.0,0.08059586565182573,0.0,220,540,560,9900,10000,10000,10000,10000,10000,10000,10000
POST,POST /v1/workspace/orders,267,16,9800.0,10898.137082625433,208.40870100073516,48449.93835599962,2807.767790262172,0.4303819225807494,0.025790677008584235,9800,12000,15000,16000,19000,21000,29000,42000,48000,48000,48000
POST,POST /v1/workspace/orders [lifecycle],176,14,10000.0,10916.3759340568,191.63112299793283,34006.67512500149,2755.284090909091,0.2836974470944266,0.022566842382511207,10000,13000,15000,16000,18000,21000,23000,28000,34000,34000,34000
POST,POST /v1/workspace/orders/{order_id}/cancel,249,0,8800.0,8992.66244181131,38.18120300275041,23096.807448000618,3330.0,0.4013674109460922,0.0,8800,10000,12000,13000,18000,20000,21000,23000,23000,23000,23000
POST,POST /v1/workspace/orders/{order_id}/entered,162,0,9000.0,9474.057968641937,470.85460200105445,23198.344180000277,3317.0,0.2611306047119154,0.0,9000,11000,13000,17000,19000,20000,23000,23000,23000,23000,23000
POST,POST /v1/workspace/orders/{order_id}/pickup/approve,158,0,7000.0,7682.716417607699,746.6117709991522,23467.43636500105,5194.0,0.25468293545976933,0.0,7100,10000,10000,12000,14000,20000,23000,23000,23000,23000,23000
POST,POST /v1/workspace/orders/{order_id}/pickup/signature,157,0,7400.0,8594.02293979609,1021.4597580015834,23385.49058300123,5127.0,0.25307101814673283,0.0,7400,9900,11000,12000,20000,20000,23000,23000,23000,23000,23000
POST,POST /v1/workspace/orders/{order_id}/steps/{step_key},637,0,8600.0,8449.096188098896,465.7711569998355,23337.37279000343,3401.1177394034535,1.02679132840426,0.0,8600,10000,12000,12000,20000,21000,22000,23000,23000,23000,23000
,Aggregated,2451,30,9200.0,11385.608562547528,2.5131479997071438,76775.59350400043,79379.32394940841,3.9508093342524977,0.04835751939109544,9200,12000,15000,17000,22000,31000,58000,70000,74000,77000,77000
